Date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
1/1/2008,3788,3394,3278,3224,3160,3232,3528,3715,4081,4073,3969,3816,3701,3772,3753,3744,3764,4301,5070,5192,5183,4897,4410,3862
1/2/2008,3453,3328,3213,3192,3193,3280,3687,3934,4254,4272,4182,4022,3872,3894,3870,3852,3819,4425,5142,5221,5185,4903,4340,3869
1/3/2008,3548,3319,3227,3175,3167,3293,3562,3855,4042,4039,3921,3790,3713,3730,3723,3729,3902,4408,4909,5034,4959,4692,4294,3815
1/4/2008,3519,3298,3234,3147,3121,3168,3419,3601,3873,3879,3859,3796,3810,3791,3802,3825,3913,4507,5194,5247,5232,4891,4394,3867
1/5/2008,3488,3318,3199,3223,3240,3397,3976,4417,4581,4512,4409,4320,4174,4242,4164,4110,3976,4530,5335,5405,5351,5064,4541,3878
1/6/2008,3578,3361,3281,3253,3269,3423,4073,4486,4535,4438,4179,3997,3842,3842,3808,3804,3731,4322,5195,5351,5315,5017,4474,3875
1/7/2008,3490,3318,3249,3232,3234,3389,3927,4455,4486,4455,4207,4011,3834,3838,3810,3794,3710,4206,5222,5286,5280,5003,4421,3790
1/8/2008,3470,3280,3223,3177,3182,3370,4027,4403,4487,4489,4220,4075,4052,3938,3893,3823,3805,4354,5150,5218,5192,4923,4439,3872
1/9/2008,3537,3318,3311,3272,3244,3418,3686,3905,4057,4107,4000,3834,3757,3731,3731,3665,3780,4294,5050,5166,5138,4878,4483,3966
1/10/2008,3573,3369,3295,3263,3283,3385,3863,4294,4220,4160,3978,3823,3672,3555,3538,3475,3515,4007,4892,4964,4952,4584,4217,3835
1/11/2008,3514,3249,3193,3140,3139,3177,3428,3552,3568,3636,3573,3431,3328,3207,3172,3199,3262,3877,4847,5025,4991,4755,4271,3659
1/12/2008,3348,3175,3111,3065,3062,3231,3802,4342,4403,4421,4382,4196,4123,4128,4057,3980,3861,4237,5154,5261,5220,4862,4431,3766
1/13/2008,3458,3250,3192,3184,3175,3365,3908,4460,4395,4422,4195,3961,3781,3811,3777,3724,3664,4064,5086,5253,5244,4969,4434,3836
1/14/2008,3514,3331,3232,3236,3233,3348,3981,4492,4395,4340,4178,4009,3880,3869,3832,3794,3731,4144,5101,5223,5208,4907,4426,3823
1/15/2008,3425,3254,3188,3155,3166,3338,3948,4405,4406,4465,4253,4078,3931,3966,3920,3911,3851,4182,5083,5229,5224,4936,4335,3813
1/16/2008,3478,3313,3251,3182,3190,3320,3918,4477,4400,4412,4187,4110,4024,4049,4003,4061,4011,4523,5153,5280,5246,4832,4303,3725
1/17/2008,3454,3243,3204,3193,3165,3354,3730,4177,4030,3991,3869,3804,3731,3750,3743,3818,3753,4140,4892,5065,5057,4810,4370,3899
1/18/2008,3528,3252,3220,3155,3166,3280,3502,3595,3698,3755,3716,3691,3614,3541,3527,3583,3660,4055,4857,5073,5043,4717,4221,3758
1/19/2008,3432,3183,3111,3083,3106,3309,3901,4519,4381,4347,4236,4133,3939,3968,3968,3879,3773,4062,5016,5150,5122,4906,4344,3752
1/20/2008,3425,3231,3144,3105,3134,3294,3899,4410,4325,4300,4097,3947,3739,3719,3673,3615,3582,3923,4900,5122,5082,4769,4212,3689
1/21/2008,3383,3198,3140,3138,3139,3336,3850,4377,4272,4216,4068,3839,3707,3726,3695,3660,3627,3804,4947,5103,5063,4800,4371,3731
1/22/2008,3438,3214,3106,3122,3155,3322,3823,4349,4274,4258,4155,4107,3972,3981,3876,3821,3755,3948,4985,5106,5131,4923,4519,3909
1/23/2008,3372,3208,3159,3101,3119,3226,3715,4270,4296,4254,4089,4057,3874,3894,3839,3790,3704,3894,5036,5177,5177,4891,4323,3764
1/24/2008,3429,3256,3163,3151,3157,3275,3764,4183,4079,4068,3935,3767,3688,3602,3607,3505,3518,3789,4820,5078,5067,4829,4306,3802
1/25/2008,3475,3272,3180,3138,3119,3211,3443,3569,3723,3716,3621,3506,3447,3271,3289,3329,3414,3826,4940,5193,5182,4908,4395,3840
1/26/2008,3453,3241,3179,3149,3173,3372,3948,4469,4377,4416,4247,4181,3917,3962,3895,3820,3782,4106,5151,5346,5304,5033,4413,3824
1/27/2008,3505,3341,3269,3215,3226,3442,4020,4437,4430,4406,4186,4059,3842,3940,3896,3826,3721,4072,5145,5334,5323,5047,4506,3881
1/28/2008,3537,3358,3284,3302,3291,3462,4083,4484,4396,4376,4197,4043,3775,3881,3873,3764,3698,3848,5102,5287,5281,4986,4385,3799
1/29/2008,3469,3327,3262,3225,3250,3386,4001,4530,4476,4444,4106,3995,3829,3822,3898,3707,3565,3815,4990,5247,5249,5004,4341,3817
1/30/2008,3514,3356,3243,3216,3212,3385,3967,4398,4338,4327,4116,3952,3815,3786,3774,3697,3600,3949,5035,5243,5265,4975,4422,3849
1/31/2008,3568,3312,3237,3224,3231,3285,3787,4310,4071,4024,3899,3766,3628,3539,3495,3505,3510,3699,4796,5004,4989,4808,4345,3829
2/1/2008,3481,3218,3169,3121,3138,3211,3445,3605,3688,3695,3563,3404,3365,3252,3167,3155,3231,3524,4724,5043,5040,4820,4303,3747
2/2/2008,3367,3184,3159,3139,3150,3337,3970,4351,4249,4258,4271,4066,3974,4018,4018,4017,3878,4139,5008,5222,5193,4948,4384,3768
2/3/2008,3469,3274,3236,3182,3208,3312,3889,4390,4288,4285,4141,4023,3870,3851,3777,3723,3644,3805,4925,5236,5247,4953,4372,3816
2/4/2008,3452,3280,3203,3190,3191,3348,3874,4343,4321,4346,4149,4030,3851,3893,3897,3867,3813,3978,4952,5172,5188,4897,4399,3863
2/5/2008,3470,3291,3194,3162,3135,3281,3897,4274,4257,4210,4037,3902,3740,3789,3737,3682,3674,3716,4811,5137,5147,4894,4329,3844
2/6/2008,3401,3265,3198,3185,3199,3367,3943,4323,4275,4200,4067,3951,3785,3779,3740,3671,3604,3713,4839,5133,5131,4884,4329,3755
2/7/2008,3423,3288,3220,3172,3177,3289,3754,4145,3993,4004,3819,3686,3557,3533,3507,3386,3388,3531,4598,4976,4969,4846,4203,3814
2/8/2008,3458,3226,3108,3071,3076,3153,3312,3424,3575,3586,3564,3399,3345,3236,3168,3178,3245,3398,4563,5016,4950,4755,4191,3671
2/9/2008,3234,3088,3047,3018,3072,3263,3847,4284,4215,4216,4082,4026,3872,3870,3853,3774,3726,3789,4876,5191,5205,4894,4304,3820
2/10/2008,3399,3247,3175,3164,3185,3376,3917,4343,4273,4258,4129,3960,3826,3959,3822,3777,3674,3813,4863,5155,5143,4931,4397,3780
2/11/2008,3467,3252,3204,3176,3183,3381,3906,4367,4343,4315,4165,4029,3970,3984,3868,3774,3769,3861,4943,5255,5253,4972,4386,3789
2/12/2008,3524,3319,3231,3235,3236,3373,3945,4326,4389,4363,4263,4069,3988,4041,4077,3933,3902,3967,4932,5300,5342,5017,4485,3847
2/13/2008,3451,3264,3162,3149,3122,3252,3779,4171,4089,4084,4030,3936,3845,3834,3835,3817,3895,4079,4975,5030,5068,4784,4295,3746
2/14/2008,3414,3185,3123,3072,3092,3191,3313,3419,3602,3710,3712,3614,3568,3559,3519,3582,3732,3928,4767,5117,5074,4729,4304,3688
2/15/2008,3377,3204,3114,3067,3086,3289,3815,4237,4221,4264,4150,4047,4013,4032,3989,3900,3807,3857,4720,5182,5173,5000,4414,3754
